"","Pokedex Number","Name","Generation","Status","1st Type","2nd Type","1st Ability","2nd Ability","Hidden Ability","Total Points","Cluster"
"271",225,"Delibird",2,"Normal","Ice","Flying","Vital Spirit","Hustle","Insomnia",330,"small weak"
"272",226,"Mantine",2,"Normal","Water","Flying","Swift Swim","Water Absorb","Water Veil",485,"defensive specialists"
"273",227,"Skarmory",2,"Normal","Steel","Flying","Keen Eye","Sturdy","Weak Armor",465,"defensive specialists"
"274",228,"Houndour",2,"Normal","Dark","Fire","Early Bird","Flash Fire","Unnerve",330,"small weak"
"275",229,"Houndoom",2,"Normal","Dark","Fire","Early Bird","Flash Fire","Unnerve",500,"fast attackers"
"276",229,"Mega Houndoom",2,"Normal","Dark","Fire","Solar Power","","",600,"overall strongest"
"277",230,"Kingdra",2,"Normal","Water","Dragon","Swift Swim","Sniper","Damp",540,"overall strongest"
"278",231,"Phanpy",2,"Normal","Ground","","Pickup","","Sand Veil",330,"big weak"
"279",232,"Donphan",2,"Normal","Ground","","Sturdy","","Sand Veil",500,"health tanks"
"280",233,"Porygon2",2,"Normal","Normal","","Trace","Download","Analytic",515,"health tanks"
"281",234,"Stantler",2,"Normal","Normal","","Intimidate","Frisk","Sap Sipper",465,"fast attackers"
"282",235,"Smeargle",2,"Normal","Normal","","Own Tempo","Technician","Moody",250,"small weak"
"283",236,"Tyrogue",2,"Normal","Fighting","","Guts","Steadfast","Vital Spirit",210,"small weak"
"284",237,"Hitmontop",2,"Normal","Fighting","","Intimidate","Technician","Steadfast",455,"defensive specialists"
"285",238,"Smoochum",2,"Normal","Ice","Psychic","Oblivious","Forewarn","Hydration",305,"small weak"
"286",239,"Elekid",2,"Normal","Electric","","Static","","Vital Spirit",360,"small weak"
"287",240,"Magby",2,"Normal","Fire","","Flame Body","","Vital Spirit",365,"small weak"
"288",241,"Miltank",2,"Normal","Normal","","Thick Fat","Scrappy","Sap Sipper",490,"health tanks"
"289",242,"Blissey",2,"Normal","Normal","","Natural Cure","Serene Grace","Healer",540,"health tanks"
"290",243,"Raikou",2,"Sub Legendary","Electric","","Pressure","","Inner Focus",580,"overall strongest"
"291",244,"Entei",2,"Sub Legendary","Fire","","Pressure","","Inner Focus",580,"health tanks"
"292",245,"Suicune",2,"Sub Legendary","Water","","Pressure","","Inner Focus",580,"overall strongest"
"293",246,"Larvitar",2,"Normal","Rock","Ground","Guts","","Sand Veil",300,"big weak"
"294",247,"Pupitar",2,"Normal","Rock","Ground","Shed Skin","","",410,"big weak"
"295",248,"Tyranitar",2,"Normal","Rock","Dark","Sand Stream","","Unnerve",600,"overall strongest"
"296",248,"Mega Tyranitar",2,"Normal","Rock","Dark","Sand Stream","","",700,"overall strongest"
"297",249,"Lugia",2,"Legendary","Psychic","Flying","Pressure","","Multiscale",680,"overall strongest"
"298",250,"Ho-oh",2,"Legendary","Fire","Flying","Pressure","","Regenerator",680,"overall strongest"
"299",251,"Celebi",2,"Mythical","Psychic","Grass","Natural Cure","","",600,"overall strongest"
"300",252,"Treecko",3,"Normal","Grass","","Overgrow","","Unburden",310,"small weak"
"301",253,"Grovyle",3,"Normal","Grass","","Overgrow","","Unburden",405,"fast attackers"
"302",254,"Sceptile",3,"Normal","Grass","","Overgrow","","Unburden",530,"fast attackers"
"303",254,"Mega Sceptile",3,"Normal","Grass","Dragon","Lightning Rod","","",630,"overall strongest"
"304",255,"Torchic",3,"Normal","Fire","","Blaze","","Speed Boost",310,"small weak"
"305",256,"Combusken",3,"Normal","Fire","Fighting","Blaze","","Speed Boost",405,"big weak"
"306",257,"Blaziken",3,"Normal","Fire","Fighting","Blaze","","Speed Boost",530,"fast attackers"
"307",257,"Mega Blaziken",3,"Normal","Fire","Fighting","Speed Boost","","",630,"overall strongest"
"308",258,"Mudkip",3,"Normal","Water","","Torrent","","Damp",310,"big weak"
"309",259,"Marshtomp",3,"Normal","Water","Ground","Torrent","","Damp",405,"big weak"
"310",260,"Swampert",3,"Normal","Water","Ground","Torrent","","Damp",535,"health tanks"
"311",260,"Mega Swampert",3,"Normal","Water","Ground","Swift Swim","","",635,"overall strongest"
"312",261,"Poochyena",3,"Normal","Dark","","Run Away","Quick Feet","Rattled",220,"small weak"
"313",262,"Mightyena",3,"Normal","Dark","","Intimidate","Quick Feet","Moxie",420,"big weak"
"314",263,"Zigzagoon",3,"Normal","Normal","","Pickup","Gluttony","Quick Feet",240,"small weak"
"315",263,"Galarian Zigzagoon",3,"Normal","Dark","Normal","Pickup","Gluttony","Quick Feet",240,"small weak"
"316",264,"Linoone",3,"Normal","Normal","","Pickup","Gluttony","Quick Feet",420,"fast attackers"
"317",264,"Galarian Linoone",3,"Normal","Dark","Normal","Pickup","Gluttony","Quick Feet",420,"fast attackers"
"318",265,"Wurmple",3,"Normal","Bug","","Shield Dust","","Run Away",195,"small weak"
"319",266,"Silcoon",3,"Normal","Bug","","Shed Skin","","",205,"small weak"
"320",267,"Beautifly",3,"Normal","Bug","Flying","Swarm","","Rivalry",395,"big weak"
"321",268,"Cascoon",3,"Normal","Bug","","Shed Skin","","",205,"small weak"
"322",269,"Dustox",3,"Normal","Bug","Poison","Shield Dust","","Compound Eyes",385,"big weak"
"323",270,"Lotad",3,"Normal","Water","Grass","Swift Swim","Rain Dish","Own Tempo",220,"small weak"
"324",271,"Lombre",3,"Normal","Water","Grass","Swift Swim","Rain Dish","Own Tempo",340,"big weak"
"325",272,"Ludicolo",3,"Normal","Water","Grass","Swift Swim","Rain Dish","Own Tempo",480,"fast attackers"
"326",273,"Seedot",3,"Normal","Grass","","Chlorophyll","Early Bird","Pickpocket",220,"small weak"
"327",274,"Nuzleaf",3,"Normal","Grass","Dark","Chlorophyll","Early Bird","Pickpocket",340,"big weak"
"328",275,"Shiftry",3,"Normal","Grass","Dark","Chlorophyll","Early Bird","Pickpocket",480,"fast attackers"
"329",276,"Taillow",3,"Normal","Normal","Flying","Guts","","Scrappy",270,"small weak"
"330",277,"Swellow",3,"Normal","Normal","Flying","Guts","","Scrappy",455,"fast attackers"
"331",278,"Wingull",3,"Normal","Water","Flying","Keen Eye","Hydration","Rain Dish",270,"small weak"
"332",279,"Pelipper",3,"Normal","Water","Flying","Keen Eye","Drizzle","Rain Dish",440,"defensive specialists"
"333",280,"Ralts",3,"Normal","Psychic","Fairy","Synchronize","Trace","Telepathy",198,"small weak"
"334",281,"Kirlia",3,"Normal","Psychic","Fairy","Synchronize","Trace","Telepathy",278,"small weak"
"335",282,"Gardevoir",3,"Normal","Psychic","Fairy","Synchronize","Trace","Telepathy",518,"fast attackers"
"336",282,"Mega Gardevoir",3,"Normal","Psychic","Fairy","Pixilate","","",618,"overall strongest"
"337",283,"Surskit",3,"Normal","Bug","Water","Swift Swim","","Rain Dish",269,"small weak"
"338",284,"Masquerain",3,"Normal","Bug","Flying","Intimidate","","Unnerve",454,"fast attackers"
"339",285,"Shroomish",3,"Normal","Grass","","Effect Spore","Poison Heal","Quick Feet",295,"big weak"
"340",286,"Breloom",3,"Normal","Grass","Fighting","Effect Spore","Poison Heal","Technician",460,"fast attackers"
"341",287,"Slakoth",3,"Normal","Normal","","Truant","","",280,"big weak"
"342",288,"Vigoroth",3,"Normal","Normal","","Vital Spirit","","",440,"fast attackers"
"343",289,"Slaking",3,"Normal","Normal","","Truant","","",670,"overall strongest"
"344",290,"Nincada",3,"Normal","Bug","Ground","Compound Eyes","","Run Away",266,"small weak"
"345",291,"Ninjask",3,"Normal","Bug","Flying","Speed Boost","","Infiltrator",456,"fast attackers"
"346",292,"Shedinja",3,"Normal","Bug","Ghost","Wonder Guard","","",236,"small weak"
"347",293,"Whismur",3,"Normal","Normal","","Soundproof","","Rattled",240,"small weak"
"348",294,"Loudred",3,"Normal","Normal","","Soundproof","","Scrappy",360,"big weak"
"349",295,"Exploud",3,"Normal","Normal","","Soundproof","","Scrappy",490,"health tanks"
"350",296,"Makuhita",3,"Normal","Fighting","","Thick Fat","Guts","Sheer Force",237,"small weak"
"351",297,"Hariyama",3,"Normal","Fighting","","Thick Fat","Guts","Sheer Force",474,"health tanks"
"352",298,"Azurill",3,"Normal","Normal","Fairy","Thick Fat","Huge Power","Sap Sipper",190,"small weak"
"353",299,"Nosepass",3,"Normal","Rock","","Sturdy","Magnet Pull","Sand Force",375,"defensive specialists"
"354",300,"Skitty",3,"Normal","Normal","","Cute Charm","Normalize","Wonder Skin",260,"small weak"
"355",301,"Delcatty",3,"Normal","Normal","","Cute Charm","Normalize","Wonder Skin",400,"big weak"
"356",302,"Sableye",3,"Normal","Dark","Ghost","Keen Eye","Stall","Prankster",380,"big weak"
"357",302,"Mega Sableye",3,"Normal","Dark","Ghost","Magic Bounce","","",480,"defensive specialists"
"358",303,"Mawile",3,"Normal","Steel","Fairy","Hyper Cutter","Intimidate","Sheer Force",380,"big weak"
"359",303,"Mega Mawile",3,"Normal","Steel","Fairy","Huge Power","","",480,"defensive specialists"
"360",304,"Aron",3,"Normal","Steel","Rock","Sturdy","Rock Head","Heavy Metal",330,"big weak"
"361",305,"Lairon",3,"Normal","Steel","Rock","Sturdy","Rock Head","Heavy Metal",430,"defensive specialists"
"362",306,"Aggron",3,"Normal","Steel","Rock","Sturdy","Rock Head","Heavy Metal",530,"defensive specialists"
"363",306,"Mega Aggron",3,"Normal","Steel","","Filter","","",630,"defensive specialists"
"364",307,"Meditite",3,"Normal","Fighting","Psychic","Pure Power","","Telepathy",280,"small weak"
"365",308,"Medicham",3,"Normal","Fighting","Psychic","Pure Power","","Telepathy",410,"big weak"
"366",308,"Mega Medicham",3,"Normal","Fighting","Psychic","Pure Power","","",510,"fast attackers"
"367",309,"Electrike",3,"Normal","Electric","","Static","Lightning Rod","Minus",295,"small weak"
"368",310,"Manectric",3,"Normal","Electric","","Static","Lightning Rod","Minus",475,"fast attackers"
"369",310,"Mega Manectric",3,"Normal","Electric","","Intimidate","","",575,"fast attackers"
"370",311,"Plusle",3,"Normal","Electric","","Plus","","Lightning Rod",405,"fast attackers"
"371",312,"Minun",3,"Normal","Electric","","Minus","","Volt Absorb",405,"fast attackers"
"372",313,"Volbeat",3,"Normal","Bug","","Illuminate","Swarm","Prankster",430,"fast attackers"
"373",314,"Illumise",3,"Normal","Bug","","Oblivious","Tinted Lens","Prankster",430,"fast attackers"
"374",315,"Roselia",3,"Normal","Grass","Poison","Natural Cure","Poison Point","Leaf Guard",400,"big weak"
"375",316,"Gulpin",3,"Normal","Poison","","Liquid Ooze","Sticky Hold","Gluttony",302,"big weak"
"376",317,"Swalot",3,"Normal","Poison","","Liquid Ooze","Sticky Hold","Gluttony",467,"health tanks"
"377",318,"Carvanha",3,"Normal","Water","Dark","Rough Skin","","Speed Boost",305,"small weak"
"378",319,"Sharpedo",3,"Normal","Water","Dark","Rough Skin","","Speed Boost",460,"fast attackers"
"379",319,"Mega Sharpedo",3,"Normal","Water","Dark","Strong Jaw","","",560,"fast attackers"
"380",320,"Wailmer",3,"Normal","Water","","Water Veil","Oblivious","Pressure",400,"health tanks"
"381",321,"Wailord",3,"Normal","Water","","Water Veil","Oblivious","Pressure",500,"health tanks"
"382",322,"Numel",3,"Normal","Fire","Ground","Oblivious","Simple","Own Tempo",305,"big weak"
"383",323,"Camerupt",3,"Normal","Fire","Ground","Magma Armor","Solid Rock","Anger Point",460,"health tanks"
"384",323,"Mega Camerupt",3,"Normal","Fire","Ground","Sheer Force","","",560,"defensive specialists"
"385",324,"Torkoal",3,"Normal","Fire","","White Smoke","Drought","Shell Armor",470,"defensive specialists"
"386",325,"Spoink",3,"Normal","Psychic","","Thick Fat","Own Tempo","Gluttony",330,"small weak"
"387",326,"Grumpig",3,"Normal","Psychic","","Thick Fat","Own Tempo","Gluttony",470,"fast attackers"
"388",327,"Spinda",3,"Normal","Normal","","Own Tempo","Tangled Feet","Contrary",360,"big weak"
"389",328,"Trapinch",3,"Normal","Ground","","Hyper Cutter","Arena Trap","Sheer Force",290,"big weak"
"390",329,"Vibrava",3,"Normal","Ground","Dragon","Levitate","","",340,"small weak"
"391",330,"Flygon",3,"Normal","Ground","Dragon","Levitate","","",520,"fast attackers"
"392",331,"Cacnea",3,"Normal","Grass","","Sand Veil","","Water Absorb",335,"big weak"
"393",332,"Cacturne",3,"Normal","Grass","Dark","Sand Veil","","Water Absorb",475,"fast attackers"
"394",333,"Swablu",3,"Normal","Normal","Flying","Natural Cure","","Cloud Nine",310,"big weak"
"395",334,"Altaria",3,"Normal","Dragon","Flying","Natural Cure","","Cloud Nine",490,"defensive specialists"
"396",334,"Mega Altaria",3,"Normal","Dragon","Fairy","Pixilate","","",590,"overall strongest"
"397",335,"Zangoose",3,"Normal","Normal","","Immunity","","Toxic Boost",458,"fast attackers"
"398",336,"Seviper",3,"Normal","Poison","","Shed Skin","","Infiltrator",458,"fast attackers"
"399",337,"Lunatone",3,"Normal","Rock","Psychic","Levitate","","",460,"fast attackers"
"400",338,"Solrock",3,"Normal","Rock","Psychic","Levitate","","",460,"health tanks"
"401",339,"Barboach",3,"Normal","Water","Ground","Oblivious","Anticipation","Hydration",288,"small weak"
"402",340,"Whiscash",3,"Normal","Water","Ground","Oblivious","Anticipation","Hydration",468,"health tanks"
"403",341,"Corphish",3,"Normal","Water","","Hyper Cutter","Shell Armor","Adaptability",308,"big weak"
"404",342,"Crawdaunt",3,"Normal","Water","Dark","Hyper Cutter","Shell Armor","Adaptability",468,"health tanks"
"405",343,"Baltoy",3,"Normal","Ground","Psychic","Levitate","","",300,"small weak"
"406",344,"Claydol",3,"Normal","Ground","Psychic","Levitate","","",500,"defensive specialists"
"407",345,"Lileep",3,"Normal","Rock","Grass","Suction Cups","","Storm Drain",355,"big weak"
"408",346,"Cradily",3,"Normal","Rock","Grass","Suction Cups","","Storm Drain",495,"defensive specialists"
"409",347,"Anorith",3,"Normal","Rock","Bug","Battle Armor","","Swift Swim",355,"big weak"
"410",348,"Armaldo",3,"Normal","Rock","Bug","Battle Armor","","Swift Swim",495,"health tanks"
"411",349,"Feebas",3,"Normal","Water","","Swift Swim","Oblivious","Adaptability",200,"small weak"
"412",350,"Milotic",3,"Normal","Water","","Marvel Scale","Competitive","Cute Charm",540,"overall strongest"
"413",351,"Castform",3,"Normal","Normal","","Forecast","","",420,"big weak"
"414",351,"Castform Sunny Form",3,"Normal","Fire","","Forecast","","",420,"big weak"
"415",351,"Castform Rainy Form",3,"Normal","Water","","Forecast","","",420,"big weak"
"416",351,"Castform Snowy Form",3,"Normal","Ice","","Forecast","","",420,"big weak"
"417",352,"Kecleon",3,"Normal","Normal","","Color Change","","Protean",440,"defensive specialists"
"418",353,"Shuppet",3,"Normal","Ghost","","Insomnia","Frisk","Cursed Body",295,"small weak"
"419",354,"Banette",3,"Normal","Ghost","","Insomnia","Frisk","Cursed Body",455,"fast attackers"
"420",354,"Mega Banette",3,"Normal","Ghost","","Prankster","","",555,"overall strongest"
"421",355,"Duskull",3,"Normal","Ghost","","Levitate","","Frisk",295,"big weak"
"422",356,"Dusclops",3,"Normal","Ghost","","Pressure","","Frisk",455,"defensive specialists"
"423",357,"Tropius",3,"Normal","Grass","Flying","Chlorophyll","Solar Power","Harvest",460,"health tanks"
"424",358,"Chimecho",3,"Normal","Psychic","","Levitate","","",455,"defensive specialists"
"425",359,"Absol",3,"Normal","Dark","","Pressure","Super Luck","Justified",465,"fast attackers"
"426",359,"Mega Absol",3,"Normal","Dark","","Magic Bounce","","",565,"fast attackers"
"427",360,"Wynaut",3,"Normal","Psychic","","Shadow Tag","","Telepathy",260,"big weak"
"428",361,"Snorunt",3,"Normal","Ice","","Inner Focus","Ice Body","Moody",300,"small weak"
"429",362,"Glalie",3,"Normal","Ice","","Inner Focus","Ice Body","Moody",480,"fast attackers"
"430",362,"Mega Glalie",3,"Normal","Ice","","Refrigerate","","",580,"overall strongest"
"431",363,"Spheal",3,"Normal","Ice","Water","Thick Fat","Ice Body","Oblivious",290,"big weak"
"432",364,"Sealeo",3,"Normal","Ice","Water","Thick Fat","Ice Body","Oblivious",410,"big weak"
"433",365,"Walrein",3,"Normal","Ice","Water","Thick Fat","Ice Body","Oblivious",530,"health tanks"
"434",366,"Clamperl",3,"Normal","Water","","Shell Armor","","Rattled",345,"big weak"
"435",367,"Huntail",3,"Normal","Water","","Swift Swim","","Water Veil",485,"defensive specialists"
"436",368,"Gorebyss",3,"Normal","Water","","Swift Swim","","Hydration",485,"defensive specialists"
"437",369,"Relicanth",3,"Normal","Water","Rock","Swift Swim","Rock Head","Sturdy",485,"health tanks"
"438",370,"Luvdisc",3,"Normal","Water","","Swift Swim","","Hydration",330,"small weak"
"439",371,"Bagon",3,"Normal","Dragon","","Rock Head","","Sheer Force",300,"small weak"
"440",372,"Shelgon",3,"Normal","Dragon","","Rock Head","","Overcoat",420,"big weak"
"441",373,"Salamence",3,"Normal","Dragon","Flying","Intimidate","","Moxie",600,"overall strongest"
"442",373,"Mega Salamence",3,"Normal","Dragon","Flying","Aerilate","","",700,"overall strongest"
"443",374,"Beldum",3,"Normal","Steel","Psychic","Clear Body","","Light Metal",300,"big weak"
"444",375,"Metang",3,"Normal","Steel","Psychic","Clear Body","","Light Metal",420,"big weak"
"445",376,"Metagross",3,"Normal","Steel","Psychic","Clear Body","","Light Metal",600,"overall strongest"
"446",376,"Mega Metagross",3,"Normal","Steel","Psychic","Tough Claws","","",700,"overall strongest"
"447",377,"Regirock",3,"Sub Legendary","Rock","","Clear Body","","Sturdy",580,"defensive specialists"
"448",378,"Regice",3,"Sub Legendary","Ice","","Clear Body","","Ice Body",580,"defensive specialists"
"449",379,"Registeel",3,"Sub Legendary","Steel","","Clear Body","","Light Metal",580,"defensive specialists"
"450",380,"Latias",3,"Sub Legendary","Dragon","Psychic","Levitate","","",600,"overall strongest"
"451",380,"Mega Latias",3,"Sub Legendary","Dragon","Psychic","Levitate","","",700,"overall strongest"
"452",381,"Latios",3,"Sub Legendary","Dragon","Psychic","Levitate","","",600,"overall strongest"
"453",381,"Mega Latios",3,"Sub Legendary","Dragon","Psychic","Levitate","","",700,"overall strongest"
"454",382,"Kyogre",3,"Legendary","Water","","Drizzle","","",670,"overall strongest"
"455",382,"Primal Kyogre",3,"Legendary","Water","","Primordial Sea","","",770,"overall strongest"
"456",383,"Groudon",3,"Legendary","Ground","","Drought","","",670,"overall strongest"
"457",383,"Primal Groudon",3,"Legendary","Ground","Fire","Desolate Land","","",770,"overall strongest"
"458",384,"Rayquaza",3,"Legendary","Dragon","Flying","Air Lock","","",680,"overall strongest"
"459",384,"Mega Rayquaza",3,"Legendary","Dragon","Flying","Delta Stream","","",780,"overall strongest"
"460",385,"Jirachi",3,"Mythical","Steel","Psychic","Serene Grace","","",600,"overall strongest"
"461",386,"Deoxys Normal Forme",3,"Mythical","Psychic","","Pressure","","",600,"fast attackers"
"462",386,"Deoxys Attack Forme",3,"Mythical","Psychic","","Pressure","","",600,"fast attackers"
"463",386,"Deoxys Defense Forme",3,"Mythical","Psychic","","Pressure","","",600,"defensive specialists"
"464",386,"Deoxys Speed Forme",3,"Mythical","Psychic","","Pressure","","",600,"fast attackers"
"465",387,"Turtwig",4,"Normal","Grass","","Overgrow","","Shell Armor",318,"big weak"
"466",388,"Grotle",4,"Normal","Grass","","Overgrow","","Shell Armor",405,"big weak"
"467",389,"Torterra",4,"Normal","Grass","Ground","Overgrow","","Shell Armor",525,"health tanks"
"468",390,"Chimchar",4,"Normal","Fire","","Blaze","","Iron Fist",309,"small weak"
"469",391,"Monferno",4,"Normal","Fire","Fighting","Blaze","","Iron Fist",405,"big weak"
"470",392,"Infernape",4,"Normal","Fire","Fighting","Blaze","","Iron Fist",534,"fast attackers"
"471",393,"Piplup",4,"Normal","Water","","Torrent","","Defiant",314,"big weak"
"472",394,"Prinplup",4,"Normal","Water","","Torrent","","Defiant",405,"big weak"
"473",395,"Empoleon",4,"Normal","Water","Steel","Torrent","","Defiant",530,"overall strongest"
"474",396,"Starly",4,"Normal","Normal","Flying","Keen Eye","","Reckless",245,"small weak"
"475",397,"Staravia",4,"Normal","Normal","Flying","Intimidate","","Reckless",340,"small weak"
"476",398,"Staraptor",4,"Normal","Normal","Flying","Intimidate","","Reckless",485,"fast attackers"
"477",399,"Bidoof",4,"Normal","Normal","","Simple","Unaware","Moody",250,"small weak"
"478",400,"Bibarel",4,"Normal","Normal","Water","Simple","Unaware","Moody",410,"big weak"
"479",401,"Kricketot",4,"Normal","Bug","","Shed Skin","","Run Away",194,"small weak"
"480",402,"Kricketune",4,"Normal","Bug","","Swarm","","Technician",384,"big weak"
"481",403,"Shinx",4,"Normal","Electric","","Rivalry","Intimidate","Guts",263,"small weak"
"482",404,"Luxio",4,"Normal","Electric","","Rivalry","Intimidate","Guts",363,"big weak"
"483",405,"Luxray",4,"Normal","Electric","","Rivalry","Intimidate","Guts",523,"health tanks"
"484",406,"Budew",4,"Normal","Grass","Poison","Natural Cure","Poison Point","Leaf Guard",280,"small weak"
"485",407,"Roserade",4,"Normal","Grass","Poison","Natural Cure","Poison Point","Technician",515,"fast attackers"
"486",408,"Cranidos",4,"Normal","Rock","","Mold Breaker","","Sheer Force",350,"big weak"
"487",409,"Rampardos",4,"Normal","Rock","","Mold Breaker","","Sheer Force",495,"health tanks"
"488",410,"Shieldon",4,"Normal","Rock","Steel","Sturdy","","Soundproof",350,"defensive specialists"
"489",411,"Bastiodon",4,"Normal","Rock","Steel","Sturdy","","Soundproof",495,"defensive specialists"
"490",412,"Burmy",4,"Normal","Bug","","Shed Skin","","Overcoat",224,"small weak"
"491",413,"Wormadam Plant Cloak",4,"Normal","Bug","Grass","Anticipation","","Overcoat",424,"defensive specialists"
"492",413,"Wormadam Sandy Cloak",4,"Normal","Bug","Ground","Anticipation","","Overcoat",424,"defensive specialists"
"493",413,"Wormadam Trash Cloak",4,"Normal","Bug","Steel","Anticipation","","Overcoat",424,"defensive specialists"
"494",414,"Mothim",4,"Normal","Bug","Flying","Swarm","","Tinted Lens",424,"big weak"
"495",415,"Combee",4,"Normal","Bug","Flying","Honey Gather","","Hustle",244,"small weak"
"496",416,"Vespiquen",4,"Normal","Bug","Flying","Pressure","","Unnerve",474,"defensive specialists"
"497",417,"Pachirisu",4,"Normal","Electric","","Run Away","Pickup","Volt Absorb",405,"big weak"
"498",418,"Buizel",4,"Normal","Water","","Swift Swim","","Water Veil",330,"small weak"
"499",419,"Floatzel",4,"Normal","Water","","Swift Swim","","Water Veil",495,"fast attackers"
"500",420,"Cherubi",4,"Normal","Grass","","Chlorophyll","","",275,"small weak"
"501",421,"Cherrim",4,"Normal","Grass","","Flower Gift","","",450,"fast attackers"
"502",422,"Shellos",4,"Normal","Water","","Sticky Hold","Storm Drain","Sand Force",325,"big weak"
"503",423,"Gastrodon",4,"Normal","Water","Ground","Sticky Hold","Storm Drain","Sand Force",475,"health tanks"
"504",424,"Ambipom",4,"Normal","Normal","","Technician","Pickup","Skill Link",482,"fast attackers"
"505",425,"Drifloon",4,"Normal","Ghost","Flying","Aftermath","Unburden","Flare Boost",348,"big weak"
"506",426,"Drifblim",4,"Normal","Ghost","Flying","Aftermath","Unburden","Flare Boost",498,"health tanks"
"507",427,"Buneary",4,"Normal","Normal","","Run Away","Klutz","Limber",350,"small weak"
"508",428,"Lopunny",4,"Normal","Normal","","Cute Charm","Klutz","Limber",480,"fast attackers"
"509",428,"Mega Lopunny",4,"Normal","Normal","Fighting","Scrappy","","",580,"fast attackers"
"510",429,"Mismagius",4,"Normal","Ghost","","Levitate","","",495,"fast attackers"
"511",430,"Honchkrow",4,"Normal","Dark","Flying","Insomnia","Super Luck","Moxie",505,"health tanks"
"512",431,"Glameow",4,"Normal","Normal","","Limber","Own Tempo","Keen Eye",310,"small weak"
"513",432,"Purugly",4,"Normal","Normal","","Thick Fat","Own Tempo","Defiant",452,"fast attackers"
"514",433,"Chingling",4,"Normal","Psychic","","Levitate","","",285,"small weak"
"515",434,"Stunky",4,"Normal","Poison","Dark","Stench","Aftermath","Keen Eye",329,"small weak"
"516",435,"Skuntank",4,"Normal","Poison","Dark","Stench","Aftermath","Keen Eye",479,"health tanks"
"517",436,"Bronzor",4,"Normal","Steel","Psychic","Levitate","Heatproof","Heavy Metal",300,"big weak"
"518",437,"Bronzong",4,"Normal","Steel","Psychic","Levitate","Heatproof","Heavy Metal",500,"defensive specialists"
"519",438,"Bonsly",4,"Normal","Rock","","Sturdy","Rock Head","Rattled",290,"big weak"
"520",439,"Mime Jr.",4,"Normal","Psychic","Fairy","Soundproof","Filter","Technician",310,"small weak"
"521",440,"Happiny",4,"Normal","Normal","","Natural Cure","Serene Grace","Friend Guard",220,"small weak"
"522",441,"Chatot",4,"Normal","Normal","Flying","Keen Eye","Tangled Feet","Big Pecks",411,"fast attackers"
"523",442,"Spiritomb",4,"Normal","Ghost","Dark","Pressure","","Infiltrator",485,"defensive specialists"
"524",443,"Gible",4,"Normal","Dragon","Ground","Sand Veil","","Rough Skin",300,"big weak"
"525",444,"Gabite",4,"Normal","Dragon","Ground","Sand Veil","","Rough Skin",410,"big weak"
"526",445,"Garchomp",4,"Normal","Dragon","Ground","Sand Veil","","Rough Skin",600,"overall strongest"
"527",445,"Mega Garchomp",4,"Normal","Dragon","Ground","Sand Force","","",700,"overall strongest"
"528",446,"Munchlax",4,"Normal","Normal","","Pickup","Thick Fat","Gluttony",390,"health tanks"
"529",447,"Riolu",4,"Normal","Fighting","","Steadfast","Inner Focus","Prankster",285,"small weak"
"530",448,"Lucario",4,"Normal","Fighting","Steel","Steadfast","Inner Focus","Justified",525,"fast attackers"
"531",448,"Mega Lucario",4,"Normal","Fighting","Steel","Adaptability","","",625,"overall strongest"
"532",449,"Hippopotas",4,"Normal","Ground","","Sand Stream","","Sand Force",330,"big weak"
"533",450,"Hippowdon",4,"Normal","Ground","","Sand Stream","","Sand Force",525,"health tanks"
"534",451,"Skorupi",4,"Normal","Poison","Bug","Battle Armor","Sniper","Keen Eye",330,"big weak"
"535",452,"Drapion",4,"Normal","Poison","Dark","Battle Armor","Sniper","Keen Eye",500,"fast attackers"
"536",453,"Croagunk",4,"Normal","Poison","Fighting","Anticipation","Dry Skin","Poison Touch",300,"small weak"
"537",454,"Toxicroak",4,"Normal","Poison","Fighting","Anticipation","Dry Skin","Poison Touch",490,"fast attackers"
"538",455,"Carnivine",4,"Normal","Grass","","Levitate","","",454,"health tanks"
"539",456,"Finneon",4,"Normal","Water","","Swift Swim","Storm Drain","Water Veil",330,"small weak"
"540",457,"Lumineon",4,"Normal","Water","","Swift Swim","Storm Drain","Water Veil",460,"fast attackers"
"541",458,"Mantyke",4,"Normal","Water","Flying","Swift Swim","Water Absorb","Water Veil",345,"big weak"
"542",459,"Snover",4,"Normal","Grass","Ice","Snow Warning","","Soundproof",334,"big weak"
"543",460,"Abomasnow",4,"Normal","Grass","Ice","Snow Warning","","Soundproof",494,"health tanks"
"544",460,"Mega Abomasnow",4,"Normal","Grass","Ice","Snow Warning","","",594,"overall strongest"
"545",461,"Weavile",4,"Normal","Dark","Ice","Pressure","","Pickpocket",510,"fast attackers"
"546",462,"Magnezone",4,"Normal","Electric","Steel","Magnet Pull","Sturdy","Analytic",535,"defensive specialists"
"547",463,"Lickilicky",4,"Normal","Normal","","Own Tempo","Oblivious","Cloud Nine",515,"health tanks"
"548",464,"Rhyperior",4,"Normal","Ground","Rock","Lightning Rod","Solid Rock","Reckless",535,"health tanks"
"549",465,"Tangrowth",4,"Normal","Grass","","Chlorophyll","Leaf Guard","Regenerator",535,"health tanks"
"550",466,"Electivire",4,"Normal","Electric","","Motor Drive","","Vital Spirit",540,"fast attackers"
"551",467,"Magmortar",4,"Normal","Fire","","Flame Body","","Vital Spirit",540,"overall strongest"
